,CO,NO2,O3
2306,1.4,74.0,637.0
2307,1.0,67.0,561.0
2308,1.1,74.0,612.0
2309,1.2,72.0,621.0
2310,1.2,79.0,702.0
2311,0.7,43.0,559.0
2312,0.5,33.0,435.0
2313,0.4,-200.0,441.0
2314,0.4,38.0,527.0
2315,0.5,51.0,720.0
2316,1.0,69.0,937.0
2317,4.4,116.0,1482.0
2318,4.0,119.0,1489.0
2319,2.4,96.0,1015.0
2320,2.1,109.0,1004.0
2321,2.7,115.0,1129.0
2322,2.8,118.0,1068.0
2323,2.3,118.0,924.0
2324,2.0,112.0,861.0
2325,2.6,140.0,981.0
2326,2.7,137.0,1043.0
2327,3.1,143.0,1124.0
2328,3.1,148.0,1004.0
2329,3.6,158.0,1190.0
2330,2.9,127.0,1072.0
2331,2.2,109.0,925.0
2332,2.0,101.0,862.0
2333,2.1,114.0,969.0
2334,1.9,104.0,932.0
2335,1.4,81.0,794.0
2336,0.8,51.0,599.0
2337,0.6,-200.0,614.0
2338,0.6,40.0,625.0
2339,0.5,34.0,595.0
2340,1.0,61.0,886.0
2341,2.7,95.0,1257.0
2342,5.0,142.0,1561.0
2343,3.3,128.0,1191.0
2344,2.4,115.0,1061.0
2345,1.7,84.0,751.0
2346,1.7,85.0,733.0
2347,2.4,110.0,906.0
2348,2.2,107.0,902.0
2349,2.2,107.0,836.0
2350,2.3,113.0,863.0
2351,2.6,107.0,824.0
2352,2.3,106.0,842.0
2353,3.3,125.0,1132.0
2354,3.5,139.0,1175.0
2355,2.5,117.0,1111.0
2356,2.5,107.0,1125.0
2357,2.4,98.0,1077.0
2358,2.5,97.0,1087.0
2359,2.1,95.0,1014.0
2360,1.0,68.0,801.0
2361,0.8,-200.0,802.0
2362,-200.0,51.0,753.0
2363,0.5,44.0,696.0
2364,1.3,77.0,996.0
2365,3.6,100.0,1513.0
2366,4.8,125.0,1598.0
2367,3.7,154.0,1690.0
2368,1.9,125.0,1053.0
2369,1.7,117.0,931.0
2370,1.9,105.0,865.0
2371,1.8,103.0,818.0
2372,1.7,106.0,802.0
2373,1.8,107.0,778.0
2374,1.7,102.0,767.0
2375,2.8,124.0,1000.0
2376,3.6,133.0,1143.0
2377,3.3,125.0,1009.0
2378,2.9,124.0,1076.0
2379,1.7,97.0,830.0
2380,1.7,94.0,853.0
2381,2.8,120.0,1310.0
2382,1.8,105.0,1119.0
2383,1.0,81.0,918.0
2384,0.5,43.0,609.0
2385,0.4,-200.0,516.0
2386,0.3,32.0,510.0
2387,0.4,36.0,554.0
2388,0.8,59.0,760.0
2389,2.2,92.0,1170.0
2390,4.4,121.0,1545.0
2391,3.7,151.0,1508.0
2392,2.5,142.0,1292.0
2393,2.5,141.0,1287.0
2394,2.3,129.0,1042.0
2395,2.0,106.0,817.0
2396,2.0,125.0,847.0
2397,2.1,126.0,806.0
2398,2.4,147.0,896.0
2399,3.1,180.0,1069.0
2400,2.9,164.0,945.0
2401,3.5,180.0,1168.0
2402,2.9,153.0,1065.0
2403,1.5,105.0,672.0
2404,1.7,98.0,842.0
2405,2.2,107.0,1123.0
2406,1.6,87.0,1007.0
2407,1.0,80.0,855.0
2408,0.6,62.0,689.0
2409,0.6,-200.0,622.0
2410,0.6,54.0,658.0
2411,0.5,56.0,628.0
2412,0.5,62.0,659.0
2413,0.9,72.0,799.0
2414,1.4,86.0,964.0
2415,1.6,99.0,910.0
2416,1.6,98.0,999.0
2417,1.7,102.0,853.0
2418,1.7,84.0,752.0
2419,1.5,83.0,778.0
2420,1.2,68.0,-200.0
2421,1.2,63.0,-200.0
2422,1.1,65.0,-200.0
2423,1.0,63.0,-200.0
2424,1.1,56.0,-200.0
2425,1.6,77.0,-200.0
2426,1.7,91.0,-200.0
2427,1.4,70.0,-200.0
2428,1.7,95.0,-200.0
2429,2.4,113.0,-200.0
2430,2.3,109.0,-200.0
2431,1.2,65.0,-200.0
2432,1.0,60.0,-200.0
2433,1.4,-200.0,-200.0
2434,-200.0,62.0,-200.0
2435,1.0,60.0,-200.0
2436,0.9,65.0,-200.0
2437,0.8,55.0,-200.0
2438,1.0,66.0,-200.0
2439,1.2,67.0,-200.0
2440,1.2,64.0,-200.0
2441,1.0,59.0,-200.0
2442,1.0,59.0,-200.0
2443,0.6,36.0,-200.0
2444,0.7,35.0,-200.0
2445,0.8,54.0,-200.0
2446,1.1,71.0,-200.0
2447,1.4,86.0,-200.0
2448,2.8,114.0,-200.0
2449,2.5,105.0,-200.0
2450,1.6,87.0,-200.0
2451,1.4,85.0,-200.0
2452,2.3,91.0,-200.0
2453,4.2,108.0,-200.0
2454,3.0,99.0,-200.0
2455,2.2,83.0,-200.0
2456,0.6,36.0,-200.0
2457,0.3,-200.0,-200.0
2458,0.3,24.0,466.0
2459,0.5,43.0,609.0
2460,1.3,64.0,863.0
2461,2.5,91.0,1203.0
2462,3.7,109.0,1412.0
2463,2.5,110.0,1069.0
2464,1.8,111.0,817.0
2465,1.5,106.0,649.0
2466,1.5,104.0,598.0
2467,1.2,76.0,540.0
2468,1.4,84.0,601.0
2469,1.6,102.0,668.0
2470,1.6,102.0,647.0
2471,2.2,124.0,816.0
2472,3.0,147.0,963.0
2473,3.0,138.0,1010.0
2474,2.7,126.0,967.0
2475,2.1,112.0,904.0
2476,1.6,95.0,852.0
2477,1.3,80.0,744.0
2478,1.1,79.0,760.0
2479,0.7,49.0,613.0
2480,0.4,36.0,531.0
2481,0.2,-200.0,493.0
2482,0.2,40.0,509.0
2483,0.3,37.0,560.0
2484,0.9,67.0,826.0
2485,3.1,106.0,1334.0
2486,5.0,134.0,1660.0
2487,2.8,123.0,1362.0
2488,2.8,136.0,1316.0
2489,2.1,109.0,1089.0
2490,3.1,144.0,1129.0
2491,3.0,154.0,1120.0
2492,2.1,126.0,916.0
2493,1.7,98.0,812.0
2494,2.2,120.0,959.0
2495,3.5,145.0,1189.0
2496,3.6,139.0,1199.0
2497,4.1,148.0,1283.0
2498,4.0,139.0,1291.0
2499,1.8,93.0,949.0
2500,1.7,96.0,1018.0
2501,2.4,104.0,1122.0
2502,1.2,83.0,968.0
2503,0.8,66.0,806.0
2504,0.5,55.0,714.0
2505,0.3,-200.0,644.0
2506,-200.0,37.0,606.0
2507,0.4,40.0,606.0
2508,1.0,51.0,819.0
2509,3.8,117.0,1462.0
2510,3.2,110.0,1478.0
2511,3.5,136.0,1598.0
2512,3.2,152.0,1449.0
2513,2.3,119.0,1221.0
2514,2.2,106.0,1023.0
2515,2.1,101.0,910.0
2516,1.9,110.0,913.0
2517,2.4,124.0,1035.0
2518,2.5,137.0,1085.0
2519,3.6,159.0,1278.0
2520,3.9,152.0,1383.0
2521,4.4,166.0,1473.0
2522,4.8,163.0,1507.0
2523,2.5,121.0,1215.0
2524,2.8,125.0,1242.0
2525,3.2,120.0,1356.0
2526,2.6,103.0,1195.0
2527,1.5,64.0,899.0
2528,1.0,44.0,726.0
2529,0.8,-200.0,743.0
2530,0.6,35.0,684.0
2531,0.6,46.0,779.0
2532,0.7,54.0,801.0
2533,1.2,68.0,983.0
2534,1.5,77.0,989.0
2535,1.3,74.0,875.0
2536,1.6,92.0,807.0
2537,1.5,83.0,727.0
2538,1.2,58.0,549.0
2539,1.1,55.0,570.0
2540,1.2,61.0,596.0
2541,1.3,65.0,585.0
2542,1.4,74.0,637.0
2543,1.6,89.0,664.0
2544,2.1,103.0,797.0
2545,3.0,128.0,1046.0
2546,2.8,122.0,1058.0
2547,3.8,125.0,1214.0
2548,3.2,119.0,1056.0
2549,4.1,126.0,1280.0
2550,2.6,100.0,1045.0
2551,2.0,94.0,1039.0
2552,0.9,52.0,640.0
2553,0.7,-200.0,705.0
2554,0.6,64.0,662.0
2555,0.6,46.0,579.0
2556,1.6,88.0,987.0
2557,2.6,104.0,1197.0
2558,2.9,125.0,1328.0
2559,2.8,151.0,1370.0
2560,1.9,113.0,921.0
2561,1.9,102.0,876.0
2562,2.1,108.0,819.0
2563,1.9,93.0,763.0
2564,1.6,89.0,675.0
2565,1.6,84.0,637.0
2566,2.1,111.0,826.0
2567,2.4,115.0,854.0
2568,2.8,127.0,894.0
2569,3.4,129.0,1077.0
2570,3.4,140.0,1121.0
2571,2.7,137.0,1071.0
2572,2.6,130.0,1167.0
2573,2.3,121.0,1162.0
2574,1.2,79.0,848.0
2575,1.0,69.0,759.0
2576,0.9,61.0,694.0
2577,1.1,-200.0,848.0
2578,-200.0,58.0,689.0
2579,0.4,58.0,610.0
2580,0.9,70.0,816.0
2581,1.8,104.0,1158.0
2582,2.2,109.0,1228.0
2583,2.4,129.0,1323.0
2584,2.3,144.0,1274.0
2585,1.6,101.0,846.0
2586,1.4,90.0,737.0
2587,1.4,86.0,675.0
2588,1.0,69.0,559.0
2589,1.0,65.0,604.0
2590,1.2,73.0,729.0
2591,1.3,73.0,741.0
2592,1.5,78.0,747.0
2593,1.9,98.0,932.0
2594,1.8,99.0,928.0
2595,1.4,83.0,860.0
2596,1.7,88.0,963.0
2597,2.7,117.0,1309.0
2598,2.1,97.0,1266.0
2599,1.4,75.0,1181.0
2600,1.0,53.0,937.0
2601,1.0,-200.0,995.0
2602,0.8,45.0,789.0
2603,0.5,42.0,682.0
2604,0.6,44.0,717.0
2605,0.6,50.0,696.0
2606,1.0,60.0,807.0
2607,1.6,100.0,1025.0
2608,1.9,111.0,1090.0
2609,1.7,110.0,932.0
2610,1.1,74.0,639.0
2611,0.8,56.0,467.0
2612,0.7,50.0,476.0
2613,0.7,54.0,490.0
2614,1.2,90.0,669.0
2615,1.6,109.0,800.0
2616,1.6,110.0,791.0
2617,1.7,103.0,849.0
2618,2.0,120.0,934.0
2619,2.3,134.0,1081.0
2620,2.4,137.0,1102.0
2621,1.7,99.0,914.0
2622,1.2,78.0,926.0
2623,1.0,63.0,786.0
2624,0.6,41.0,619.0
2625,0.5,-200.0,633.0
2626,0.4,39.0,634.0
2627,0.5,60.0,722.0
2628,0.7,54.0,717.0
2629,3.2,119.0,1445.0
2630,5.6,159.0,1786.0
2631,4.6,182.0,1791.0
2632,3.3,183.0,1413.0
2633,2.1,144.0,1092.0
2634,1.9,118.0,940.0
2635,1.9,106.0,883.0
2636,1.6,97.0,850.0
2637,2.0,129.0,928.0
2638,1.8,130.0,835.0
2639,2.9,163.0,1157.0
2640,3.4,160.0,1232.0
2641,3.1,140.0,1288.0
2642,2.5,115.0,1143.0
2643,1.8,92.0,1014.0
2644,1.8,99.0,1088.0
2645,2.0,96.0,1092.0
2646,1.5,80.0,1090.0
2647,0.8,65.0,979.0
2648,0.4,46.0,806.0
2649,0.3,-200.0,712.0
2650,-200.0,57.0,853.0
2651,0.5,54.0,816.0
2652,0.7,62.0,934.0
2653,3.4,102.0,1548.0
2654,5.7,140.0,1858.0
2655,3.2,121.0,1410.0
2656,2.7,132.0,1334.0
2657,2.1,122.0,1140.0
2658,2.8,148.0,1111.0
2659,2.5,133.0,1054.0
2660,2.1,130.0,924.0
2661,2.5,141.0,1041.0
2662,2.7,172.0,1282.0
2663,3.7,198.0,1362.0
2664,3.7,181.0,1441.0
2665,4.6,202.0,1559.0
2666,2.6,120.0,1198.0
2667,2.5,115.0,1246.0
2668,2.3,112.0,1192.0
2669,2.2,97.0,1194.0
2670,2.5,100.0,1252.0
2671,0.9,47.0,777.0
2672,0.8,44.0,798.0
2673,0.7,-200.0,800.0
2674,0.5,42.0,728.0
2675,0.7,57.0,953.0
2676,0.9,61.0,1060.0
2677,2.2,106.0,1338.0
2678,2.8,136.0,1622.0
2679,2.9,157.0,1812.0
2680,2.9,171.0,1784.0
2681,3.0,190.0,1509.0
2682,2.5,155.0,1139.0
2683,2.3,139.0,1044.0
2684,2.1,152.0,1015.0
2685,1.9,143.0,825.0
2686,2.3,168.0,1022.0
2687,4.2,226.0,1913.0
2688,4.9,207.0,2043.0
2689,4.9,197.0,1661.0
2690,3.5,158.0,1404.0
2691,2.5,124.0,1233.0
2692,2.5,110.0,1181.0
2693,2.6,112.0,1272.0
2694,2.3,102.0,1190.0
2695,1.5,77.0,982.0
2696,0.9,50.0,805.0
2697,0.6,-200.0,654.0
2698,0.6,40.0,727.0
2699,0.8,66.0,1001.0
2700,0.9,60.0,994.0
2701,2.4,85.0,1322.0
2702,3.9,120.0,1617.0
2703,2.9,134.0,1430.0
2704,2.7,149.0,1357.0
2705,2.0,125.0,994.0
2706,2.4,132.0,1054.0
2707,2.0,114.0,945.0
2708,1.8,110.0,808.0
2709,1.9,121.0,888.0
2710,1.8,127.0,787.0
2711,2.9,157.0,1077.0
2712,3.3,169.0,1106.0
2713,4.4,179.0,1356.0
2714,3.4,149.0,1152.0
2715,1.9,111.0,925.0
2716,2.1,112.0,1059.0
2717,2.5,120.0,1201.0
2718,2.3,105.0,1205.0
2719,1.7,90.0,1103.0
2720,1.5,87.0,1072.0
2721,0.8,-200.0,713.0
2722,-200.0,54.0,737.0
2723,0.5,61.0,740.0
2724,0.8,63.0,770.0
2725,2.6,102.0,1327.0
2726,4.9,149.0,1763.0
2727,2.9,147.0,1477.0
2728,2.8,158.0,1311.0
2729,1.8,112.0,980.0
2730,1.8,108.0,961.0
2731,1.9,120.0,923.0
2732,1.7,117.0,839.0
2733,1.7,119.0,827.0
2734,1.9,149.0,821.0
2735,2.1,174.0,749.0
2736,2.4,163.0,871.0
2737,3.0,161.0,1077.0
2738,2.8,154.0,1175.0
2739,1.9,124.0,1125.0
2740,2.1,122.0,1124.0
2741,1.8,119.0,1064.0
2742,2.5,131.0,1240.0
2743,1.1,84.0,899.0
2744,0.7,77.0,807.0
2745,0.7,-200.0,817.0
2746,0.4,41.0,573.0
2747,0.7,68.0,768.0
2748,0.7,69.0,807.0
2749,1.8,101.0,1204.0
2750,2.3,120.0,1401.0
2751,1.9,124.0,1256.0
2752,1.7,113.0,999.0
2753,1.3,97.0,712.0
2754,1.5,94.0,712.0
2755,1.3,86.0,614.0
2756,0.8,70.0,554.0
2757,0.8,70.0,722.0
2758,1.1,82.0,636.0
2759,1.2,93.0,664.0
2760,1.2,89.0,624.0
2761,1.4,90.0,659.0
2762,1.1,67.0,695.0
2763,1.5,94.0,920.0
2764,2.0,109.0,1150.0
2765,1.9,103.0,1141.0
2766,2.2,101.0,1227.0
2767,1.1,71.0,887.0
2768,1.1,71.0,987.0
2769,0.8,-200.0,903.0
2770,0.6,49.0,780.0
2771,0.6,43.0,767.0
2772,0.6,44.0,780.0
2773,0.6,42.0,698.0
2774,1.1,69.0,821.0
2775,1.0,65.0,772.0
2776,1.0,68.0,690.0
2777,1.0,58.0,586.0
2778,0.8,52.0,523.0
2779,0.7,46.0,488.0
2780,0.4,40.0,427.0
2781,0.5,47.0,468.0
2782,0.6,56.0,489.0
2783,0.7,64.0,515.0
2784,0.9,71.0,562.0
2785,1.6,103.0,776.0
2786,1.6,97.0,833.0
2787,1.7,108.0,1023.0
2788,1.3,87.0,967.0
2789,1.9,104.0,1089.0
2790,1.5,93.0,1103.0
2791,0.6,55.0,734.0
2792,0.4,49.0,671.0
2793,0.3,-200.0,696.0
2794,-200.0,56.0,729.0
2795,0.4,43.0,641.0
2796,0.7,57.0,825.0
2797,2.0,80.0,1179.0
2798,3.9,134.0,1651.0
2799,3.6,157.0,1474.0
2800,3.2,175.0,1370.0
2801,2.2,147.0,1141.0
2802,2.2,140.0,1076.0
2803,2.1,137.0,1036.0
2804,1.8,123.0,881.0
2805,2.0,138.0,960.0
2806,1.8,132.0,883.0
2807,3.0,174.0,1221.0
2808,4.3,203.0,1518.0
2809,3.5,176.0,1264.0
2810,2.5,125.0,1061.0
2811,1.8,98.0,947.0
2812,1.9,103.0,1059.0
2813,1.9,104.0,1030.0
2814,1.9,105.0,1065.0
2815,0.9,75.0,893.0
2816,0.7,60.0,837.0
2817,0.6,-200.0,807.0
2818,0.4,36.0,596.0
2819,0.7,66.0,884.0
2820,1.6,97.0,1170.0
2821,3.8,115.0,1596.0
2822,5.1,145.0,1873.0
2823,3.4,162.0,1608.0
2824,2.6,147.0,1470.0
2825,2.2,132.0,1275.0
2826,3.4,179.0,1407.0
2827,3.4,174.0,1302.0
2828,1.8,132.0,931.0
2829,2.0,151.0,917.0
2830,2.4,168.0,985.0
2831,3.8,192.0,1265.0
2832,4.4,194.0,2475.0
2833,3.9,155.0,2021.0
2834,4.0,159.0,1834.0
2835,2.5,125.0,1426.0
2836,2.1,108.0,1272.0
2837,2.4,110.0,1490.0
2838,2.1,99.0,1440.0
2839,1.6,95.0,1271.0
2840,0.8,69.0,985.0
2841,0.5,-200.0,826.0
2842,0.4,45.0,754.0
2843,0.5,53.0,853.0
2844,1.3,88.0,1340.0
2845,4.1,136.0,1869.0
2846,4.1,141.0,2021.0
2847,4.0,189.0,1902.0
2848,2.2,166.0,1527.0
2849,2.0,154.0,1260.0
2850,2.0,149.0,1124.0
2851,2.2,142.0,1309.0
2852,2.2,130.0,1283.0
2853,1.8,121.0,1068.0
2854,1.8,116.0,937.0
2855,3.3,177.0,1416.0
2856,4.3,233.0,1611.0
2857,5.3,223.0,1919.0
2858,4.3,184.0,1745.0
2859,3.6,165.0,1837.0
2860,2.4,132.0,1759.0
2861,2.1,122.0,1593.0
2862,1.2,88.0,1357.0
2863,0.9,79.0,1231.0
2864,0.6,60.0,1066.0
2865,0.5,-200.0,992.0
2866,-200.0,60.0,1063.0
2867,0.6,74.0,1204.0
2868,0.6,62.0,1079.0
2869,2.2,115.0,1593.0
2870,3.2,119.0,1745.0
2871,3.0,155.0,1847.0
2872,2.7,162.0,1845.0
2873,3.2,189.0,1886.0
2874,1.4,115.0,1039.0
2875,1.3,109.0,923.0
2876,1.4,108.0,926.0
2877,2.1,145.0,1277.0
2878,2.4,167.0,1301.0
2879,3.1,200.0,1385.0
2880,3.5,178.0,1474.0
2881,5.1,206.0,1948.0
2882,4.5,192.0,1677.0
2883,2.9,137.0,1434.0
2884,2.6,128.0,1424.0
2885,2.7,121.0,1504.0
2886,3.2,136.0,1661.0
2887,2.3,109.0,1714.0
2888,1.0,74.0,1050.0
2889,0.5,-200.0,550.0
2890,0.4,40.0,456.0
2891,0.6,61.0,554.0
2892,1.0,83.0,744.0
2893,2.9,129.0,1280.0
2894,2.7,-200.0,1096.0
2895,1.8,115.0,927.0
2896,1.8,130.0,840.0
2897,1.7,137.0,786.0
2898,1.5,116.0,690.0
2899,1.7,129.0,742.0
2900,1.3,117.0,680.0
2901,1.5,138.0,705.0
2902,1.5,139.0,677.0
2903,2.3,180.0,877.0
2904,2.2,162.0,844.0
2905,2.8,158.0,1006.0
2906,2.7,162.0,987.0
2907,1.7,112.0,868.0
2908,1.5,104.0,861.0
2909,2.3,125.0,1042.0
2910,2.3,127.0,1080.0
2911,1.5,95.0,811.0
2912,1.0,70.0,704.0
2913,0.5,-200.0,522.0
2914,0.3,33.0,484.0
2915,0.4,45.0,580.0
2916,0.5,56.0,668.0
2917,0.9,74.0,835.0
2918,1.1,84.0,739.0
2919,1.4,93.0,763.0
2920,1.1,97.0,614.0
2921,0.9,83.0,566.0
2922,0.8,71.0,508.0
2923,0.8,78.0,509.0
2924,0.6,62.0,457.0
2925,0.6,54.0,438.0
2926,0.5,59.0,427.0
2927,0.7,69.0,453.0
2928,0.8,67.0,479.0
2929,0.9,58.0,500.0
2930,1.3,77.0,647.0
2931,1.3,94.0,728.0
2932,1.4,97.0,820.0
2933,1.9,110.0,946.0
2934,2.3,116.0,1018.0
2935,1.0,74.0,789.0
2936,0.5,51.0,647.0
2937,1.0,-200.0,785.0
2938,0.4,40.0,576.0
2939,0.3,36.0,555.0
2940,0.2,35.0,552.0
2941,0.4,48.0,620.0
2942,0.3,38.0,557.0
2943,0.6,54.0,556.0
2944,0.6,57.0,573.0
2945,0.6,54.0,514.0
2946,0.5,46.0,478.0
2947,0.4,36.0,424.0
2948,0.2,19.0,386.0
2949,0.4,34.0,403.0
2950,0.6,63.0,462.0
2951,0.9,86.0,489.0
2952,0.7,65.0,463.0
2953,1.2,101.0,585.0
2954,1.6,116.0,748.0
2955,1.8,124.0,940.0
2956,2.4,136.0,1022.0
2957,1.5,108.0,929.0
2958,0.9,82.0,834.0
2959,0.8,68.0,751.0
2960,0.2,22.0,505.0
2961,0.1,-200.0,486.0
2962,-200.0,34.0,501.0
2963,0.5,43.0,628.0
2964,1.4,84.0,1043.0
2965,3.3,108.0,1463.0
2966,3.6,112.0,1358.0
2967,1.7,104.0,971.0
2968,1.5,107.0,894.0
2969,1.6,102.0,871.0
2970,2.1,104.0,952.0
2971,2.1,96.0,843.0
2972,1.6,80.0,750.0
2973,1.3,72.0,710.0
2974,1.6,106.0,814.0
2975,3.1,119.0,1052.0
2976,3.3,119.0,1060.0
2977,3.4,128.0,1153.0
2978,2.8,112.0,986.0
2979,1.5,95.0,781.0
2980,1.3,85.0,653.0
2981,1.6,101.0,777.0
2982,1.5,94.0,1015.0
2983,1.0,76.0,922.0
2984,0.5,50.0,678.0
2985,0.4,-200.0,584.0
2986,0.6,51.0,725.0
2987,0.7,42.0,688.0
2988,1.3,62.0,887.0
2989,4.0,111.0,1494.0
2990,5.0,129.0,1647.0
2991,3.6,135.0,1489.0
2992,2.8,139.0,1361.0
2993,2.6,134.0,1224.0
2994,2.7,141.0,1174.0
2995,2.3,112.0,901.0
2996,2.0,105.0,794.0
2997,1.3,72.0,577.0
2998,1.7,90.0,776.0
2999,2.8,126.0,982.0
3000,3.8,154.0,1256.0
3001,4.9,173.0,1483.0
3002,4.3,162.0,1390.0
3003,2.6,128.0,1195.0
3004,2.4,120.0,1135.0
3005,1.9,111.0,1115.0
3006,1.4,89.0,1026.0
3007,1.1,69.0,836.0
3008,0.9,70.0,925.0
3009,0.7,-200.0,933.0
3010,0.5,59.0,781.0
3011,0.8,73.0,959.0
3012,1.3,89.0,1155.0
3013,4.7,142.0,1686.0
3014,4.6,145.0,1791.0
3015,3.7,156.0,1643.0
3016,2.8,148.0,1360.0
3017,1.8,122.0,944.0
3018,1.9,106.0,905.0
3019,2.0,106.0,884.0
3020,2.0,127.0,968.0
3021,2.1,113.0,929.0
3022,2.1,136.0,936.0
3023,3.2,153.0,1107.0
3024,4.0,172.0,1225.0
3025,4.6,190.0,1372.0
3026,3.0,160.0,1139.0
3027,2.9,159.0,1505.0
3028,1.9,123.0,1074.0
3029,1.4,101.0,868.0
3030,2.1,116.0,1095.0
3031,1.2,80.0,989.0
3032,0.6,51.0,658.0
3033,0.4,-200.0,603.0
3034,-200.0,37.0,562.0
3035,0.4,46.0,618.0
3036,0.7,64.0,747.0
3037,2.3,108.0,1229.0
3038,4.0,151.0,1494.0
3039,2.8,153.0,1281.0
3040,1.6,116.0,954.0
3041,1.6,116.0,810.0
3042,2.0,130.0,882.0
3043,2.0,131.0,840.0
3044,1.7,131.0,743.0
3045,2.0,135.0,880.0
3046,2.2,152.0,928.0
3047,3.2,198.0,1218.0
3048,3.6,183.0,1170.0
3049,3.8,175.0,1620.0
3050,4.8,193.0,1508.0
3051,2.8,140.0,1318.0
3052,2.6,128.0,1189.0
3053,1.9,100.0,1000.0
3054,1.7,97.0,1020.0
3055,1.0,67.0,767.0
3056,0.7,58.0,674.0
3057,0.5,-200.0,588.0
3058,0.4,45.0,545.0
3059,0.6,62.0,685.0
3060,0.7,59.0,702.0
3061,2.4,102.0,1188.0
3062,4.4,154.0,1589.0
3063,3.1,157.0,1331.0
3064,2.0,138.0,1040.0
3065,2.1,142.0,1137.0
3066,2.1,125.0,851.0
3067,2.1,120.0,782.0
3068,2.2,150.0,908.0
3069,1.6,120.0,806.0
3070,2.4,173.0,985.0
3071,3.3,187.0,1211.0
3072,4.0,206.0,1411.0
3073,4.1,187.0,1395.0
3074,4.2,170.0,1578.0
3075,2.9,149.0,1325.0
3076,2.3,124.0,1185.0
3077,2.2,119.0,1235.0
3078,2.1,108.0,1317.0
3079,1.6,93.0,1114.0
3080,1.2,77.0,1015.0
3081,1.2,-200.0,1015.0
3082,0.9,76.0,961.0
3083,0.6,58.0,796.0
3084,0.7,63.0,826.0
3085,1.3,75.0,1057.0
3086,2.0,111.0,1302.0
3087,1.9,116.0,1284.0
3088,2.2,138.0,1348.0
3089,1.9,117.0,1025.0
3090,1.5,94.0,759.0
3091,1.4,91.0,680.0
3092,1.0,60.0,516.0
3093,1.0,66.0,500.0
3094,1.4,87.0,700.0
3095,1.6,106.0,1360.0
3096,1.6,94.0,722.0
3097,2.1,112.0,842.0
3098,2.0,120.0,879.0
3099,1.9,106.0,836.0
3100,2.3,112.0,1062.0
3101,2.4,120.0,1188.0
3102,2.2,114.0,1236.0
3103,1.2,70.0,853.0
3104,1.1,64.0,875.0
3105,0.8,-200.0,704.0
3106,-200.0,55.0,666.0
3107,0.6,50.0,679.0
3108,0.7,62.0,877.0
3109,0.4,53.0,826.0
3110,0.6,85.0,881.0
3111,0.9,102.0,1110.0
3112,0.9,97.0,927.0
3113,0.8,91.0,665.0
3114,0.4,62.0,474.0
3115,0.3,57.0,459.0
3116,0.1,40.0,437.0
3117,0.5,60.0,607.0
3118,0.4,70.0,620.0
3119,0.3,53.0,551.0
3120,0.4,54.0,532.0
3121,0.6,58.0,578.0
3122,0.8,73.0,721.0
3123,1.2,99.0,912.0
3124,1.6,102.0,1155.0
3125,1.2,101.0,1279.0
3126,0.5,77.0,1018.0
3127,0.3,55.0,842.0
3128,0.1,51.0,740.0
3129,-200.0,-200.0,625.0
3130,0.1,50.0,739.0
3131,0.3,75.0,970.0
3132,0.8,89.0,1177.0
3133,2.3,112.0,1518.0
3134,3.4,142.0,1811.0
3135,2.5,145.0,1696.0
3136,2.4,165.0,1603.0
3137,2.1,159.0,1370.0
3138,-200.0,159.0,1194.0
3139,-200.0,131.0,880.0
3140,-200.0,123.0,748.0
3141,-200.0,129.0,868.0
3142,-200.0,126.0,959.0
3143,-200.0,149.0,1160.0
3144,-200.0,200.0,1453.0
3145,-200.0,174.0,1400.0
3146,-200.0,131.0,1265.0
3147,-200.0,135.0,1366.0
3148,-200.0,134.0,1593.0
3149,-200.0,96.0,1336.0
3150,-200.0,94.0,1317.0
3151,-200.0,79.0,1173.0
3152,-200.0,79.0,1163.0
3153,-200.0,-200.0,1012.0
3154,-200.0,89.0,1164.0
3155,-200.0,69.0,1090.0
3156,-200.0,91.0,1338.0
3157,-200.0,135.0,1808.0
3158,-200.0,166.0,2176.0
3159,-200.0,189.0,2028.0
3160,-200.0,193.0,1758.0
3161,-200.0,164.0,1350.0
3162,-200.0,139.0,1060.0
3163,-200.0,130.0,954.0
3164,-200.0,129.0,1024.0
3165,-200.0,132.0,1092.0
3166,-200.0,101.0,927.0
3167,-200.0,145.0,1274.0
3168,-200.0,133.0,978.0
3169,-200.0,110.0,1050.0
3170,-200.0,126.0,1301.0
3171,-200.0,102.0,1141.0
3172,-200.0,104.0,1252.0
3173,-200.0,112.0,1300.0
3174,-200.0,89.0,1193.0
3175,-200.0,67.0,1081.0
3176,-200.0,63.0,1094.0
3177,-200.0,-200.0,917.0
3178,-200.0,34.0,727.0
3179,-200.0,73.0,1116.0
3180,-200.0,76.0,1223.0
3181,-200.0,102.0,1556.0
3182,-200.0,140.0,1904.0
3183,-200.0,150.0,1697.0
3184,-200.0,194.0,1854.0
3185,-200.0,162.0,1306.0
3186,-200.0,138.0,980.0
3187,-200.0,123.0,870.0
3188,-200.0,86.0,613.0
3189,-200.0,107.0,819.0
3190,-200.0,106.0,868.0
3191,-200.0,99.0,876.0
3192,4.1,140.0,1153.0
3193,3.8,163.0,1492.0
3194,3.4,144.0,1382.0
3195,2.9,120.0,1303.0
3196,3.1,120.0,1404.0
3197,3.5,106.0,1308.0
3198,2.4,95.0,1320.0
3199,1.6,70.0,1179.0
3200,1.3,67.0,1160.0
3201,0.9,-200.0,1070.0
3202,1.0,70.0,1181.0
